barcode,series,control
216921,A10158,118
216958,A10158,42
216862,A10158,46
216938,A10158,5
216963,A10158,80
186993,A1066,A45/2/5/4
187001,A1066,A45/2/6/7
187021,A1066,A45/3/1/1
187171,A1066,E45/1/20
187181,A1066,E45/1/30
187244,A1066,E45/11/7
187369,A1066,E45/19/17
187357,A1066,E45/19/5
187402,A1066,E45/24/7
187433,A1066,E45/28/7
187492,A1066,E45/33/22
187537,A1066,E45/33/68
187188,A1066,E45/4/4
187581,A1066,ER45/1/5
187582,A1066,ER45/1/6
187599,A1066,ER45/2/3/2
187781,A1066,ER45/6/12
188118,A1066,H45/1013/1/9
188194,A1066,H45/1013/2/2/2
188220,A1066,H45/1014
188222,A1066,H45/1014/2
188226,A1066,H45/1015
188240,A1066,H45/1015/11
188241,A1066,H45/1015/12
188243,A1066,H45/1016/4
188244,A1066,H45/1016/4/1
188245,A1066,H45/1016/5
188247,A1066,H45/1016/5/2
187894,A1066,H45/453/2
187899,A1066,H45/461/1
187953,A1066,H45/580/6/4
187979,A1066,H45/703/1/2
187995,A1066,H45/765
188011,A1066,H45/771
188012,A1066,H45/771/1
188014,A1066,H45/771/3
188015,A1066,H45/771/4
188022,A1066,H45/772
188032,A1066,H45/777/2
188039,A1066,H45/777/4/3
188045,A1066,H45/779/3
188046,A1066,H45/780
246803,A1066,IC45/15/23/1
188941,A1066,IC45/28/7/1
188944,A1066,IC45/28/7/4
12096744,A1066,IC45/6/2/1
189650,A1066,IC45/64/3/1
189656,A1066,IC45/64/8/1
190020,A1066,M45/21/6
190025,A1066,M45/24/2
189964,A1066,M45/9/23
190051,A1066,P45/10/1/1
190052,A1066,P45/10/1/2
190058,A1066,P45/10/33
190059,A1066,P45/10/33/1
190060,A1066,P45/10/33/2
12096745,A1066,P45/10/40
190166,A1066,P45/144/1
190167,A1066,P45/148/1
190178,A1066,P45/152/2
1886556,A1066,P45/153/2
190187,A1066,P45/153/5
190084,A1066,P45/49/1
190946,A1067,A46/11/3/1
190955,A1067,A46/13/3/2
190974,A1067,A46/14/3/1
190867,A1067,A46/2/3/3
190871,A1067,A46/2/3/7
190887,A1067,A46/2/4/10
190985,A1067,E46/1/3
190988,A1067,E46/1/6
191072,A1067,E46/15/18
191060,A1067,E46/15/7
191100,A1067,E46/16/12
